"start","end","Kingsman.The.Secret.Service.movie."
2014-05-04,2014-05-10,0
2014-05-11,2014-05-17,0
2014-05-18,2014-05-24,2
2014-05-25,2014-05-31,3
2014-06-01,2014-06-07,2
2014-06-08,2014-06-14,1
2014-06-15,2014-06-21,1
2014-06-22,2014-06-28,1
2014-06-29,2014-07-05,1
2014-07-06,2014-07-12,1
2014-07-13,2014-07-19,1
2014-07-20,2014-07-26,1
2014-07-27,2014-08-02,2
2014-08-03,2014-08-09,1
2014-08-10,2014-08-16,1
2014-08-17,2014-08-23,1
2014-08-24,2014-08-30,1
2014-08-31,2014-09-06,1
2014-09-07,2014-09-13,1
2014-09-14,2014-09-20,1
2014-09-21,2014-09-27,3
2014-09-28,2014-10-04,1
2014-10-05,2014-10-11,2
2014-10-12,2014-10-18,1
2014-10-19,2014-10-25,2
2014-10-26,2014-11-01,2
2014-11-02,2014-11-08,2
2014-11-09,2014-11-15,1
2014-11-16,2014-11-22,2
2014-11-23,2014-11-29,2
2014-11-30,2014-12-06,3
2014-12-07,2014-12-13,3
2014-12-14,2014-12-20,3
2014-12-21,2014-12-27,4
2014-12-28,2015-01-03,4
2015-01-04,2015-01-10,5
2015-01-11,2015-01-17,8
2015-01-18,2015-01-24,10
2015-01-25,2015-01-31,18
2015-02-01,2015-02-07,26
2015-02-08,2015-02-14,66
2015-02-15,2015-02-21,100
2015-02-22,2015-02-28,87
2015-03-01,2015-03-07,85
2015-03-08,2015-03-14,80
2015-03-15,2015-03-21,71
2015-03-22,2015-03-28,65
2015-03-29,2015-04-04,58
2015-04-05,2015-04-11,46
2015-04-12,2015-04-18,37
2015-04-19,2015-04-25,36
2015-04-26,2015-05-02,40
2015-05-03,2015-05-09,39
2015-05-10,2015-05-16,34
2015-05-17,2015-05-23,42
2015-05-24,2015-05-30,42
2015-05-31,2015-06-06,34
2015-06-07,2015-06-13,35
2015-06-14,2015-06-20,32
2015-06-21,2015-06-27,25
2015-06-28,2015-07-04,24
